iter	Logloss
0	0.666853441
1	0.6403479411
2	0.6149618937
3	0.5911670668
4	0.5729691705
5	0.5534348009
6	0.5361131524
7	0.5221276652
8	0.5089312134
9	0.4971831733
10	0.4844109972
11	0.4718764242
12	0.4636105754
13	0.4549701436
14	0.4455595161
15	0.4362340461
16	0.4280938043
17	0.42136596
18	0.4155636868
19	0.4091244846
20	0.4049217834
21	0.4002404446
22	0.3947981669
23	0.3898755595
24	0.3854190097
25	0.3820195041
26	0.3787700127
27	0.37604599
28	0.3733475817
29	0.3711731533
30	0.3687681715
31	0.3661966146
32	0.3641675686
33	0.3619048801
34	0.3595326809
35	0.3572732069
36	0.3552206116
37	0.3537559408
38	0.3523482666
39	0.3503386434
40	0.3486095615
41	0.3469211087
42	0.3457468092
43	0.3447526279
44	0.3434972704
45	0.3419753045
46	0.3405709296
47	0.3394068773
48	0.3385057373
49	0.3375757548
50	0.3367809821
51	0.3359562615
52	0.3350800985
53	0.3343967387
54	0.3335167643
55	0.3328304003
56	0.3323175964
57	0.331724901
58	0.3310703973
59	0.3302791138
60	0.3294401245
61	0.3289821811
62	0.3283554484
63	0.3279114583
64	0.327469479
65	0.3269652269
66	0.3265865411
67	0.3261665853
68	0.325781111
69	0.3254159342
70	0.3250345391
71	0.324583452
72	0.3242893372
73	0.3240192295
74	0.3235221524
75	0.3230006341
76	0.3227516513
77	0.3222930501
78	0.321951867
79	0.3215813599
80	0.3213485853
81	0.3211235046
82	0.320844045
83	0.3205614183
84	0.320219184
85	0.3199277106
86	0.319634023
87	0.3193858236
88	0.3191884935
89	0.3189783088
90	0.318767863
91	0.3185209995
92	0.3182989977
93	0.3181030918
94	0.3179130113
95	0.3177465786
96	0.3175565491
97	0.317335317
98	0.3171663547
99	0.3169759521
100	0.3167685242
101	0.3166440091
102	0.3164907837
103	0.3162822774
104	0.3161334195
105	0.3159698452
106	0.3158072103
107	0.3156346198
108	0.315476532
109	0.3153405592
110	0.3151911146
111	0.3150334846
112	0.3149167447
113	0.3147576226
114	0.3146309306
115	0.3144837307
116	0.3144145067
117	0.3142868618
118	0.3141720886
119	0.3140780063
120	0.3139847005
121	0.3138572998
122	0.3137265557
123	0.3135906135
124	0.3134884542
125	0.3133565979
126	0.3132388102
127	0.3130747172
128	0.3129846836
129	0.3128620978
130	0.3127641059
131	0.3126376038
132	0.312531172
133	0.3124329291
134	0.3123132901
135	0.3122032301
136	0.3120894911
137	0.3119816081
138	0.3118482259
139	0.3117176005
140	0.3116101956
141	0.3115414259
142	0.3114323663
143	0.3113059828
144	0.3112301229
145	0.3111107686
146	0.311016449
147	0.3109273885
148	0.3108456794
149	0.3107569987
150	0.3106610887
151	0.3105981242
152	0.3105141975
153	0.3104416504
154	0.310359904
155	0.3102898322
156	0.3102086182
157	0.3101250136
158	0.310019772
159	0.3099378052
160	0.3098569811
161	0.3098046604
162	0.3096870931
163	0.3095475566
164	0.3094804043
165	0.309384274
166	0.3093107876
167	0.3092299839
168	0.3091532186
169	0.3090782166
170	0.3089966261
171	0.3089078267
172	0.3088469849
173	0.3087929688
174	0.3086791687
175	0.3086079542
176	0.308543674
177	0.3084586521
178	0.3083926832
179	0.3083191359
180	0.3082524482
181	0.3081414829
182	0.3080776944
183	0.3079914347
184	0.307905148
185	0.3077909342
186	0.3076928134
187	0.3076349419
188	0.3075371263
189	0.3074879964
190	0.3073748338
191	0.3072758721
192	0.3071784566
193	0.3071436666
194	0.3070410631
195	0.306964386
196	0.3069279243
197	0.3068721958
198	0.3068166029
199	0.3067228733
200	0.3066768019
201	0.3066210327
202	0.306540958
203	0.3064864197
204	0.3064271376
205	0.3063576592
206	0.3062880792
207	0.3062339681
208	0.3061663208
209	0.3060984429
